air conditioner/ AC remote
artwork/ pictures
balcony chair
balcony floor/ rails/ wall
balcony table
bar fridge
bath tub
bathroom mat
bedside lamp
bedside table
bench tops/ tiling
bin/ bin lid 
blinds/ curtains
ceiling fan
chairs/ stools
chest of drawers
chest of drawers (with glass cover)
clothes dryer
clothes drying rack
clothes hanging rack
clothes hanging racks
clothesline
coffee table
COPY from Bedroom + Bathroom
cupboards/ drawers
cushion/ cushion cover
desk/ desk chair
dining table
dish rack
dishwasher
door frames
doors/ door frames
doors/ doorway frames
doorway frames
double bed base
double bed mattress
double mattress protector
dryer
dustpan and brush
exhaust fan, light/ range hood
exhaust fan/ vent
floor covering (carpet)
floor covering (laminate/fake wood)
floor covering (other)
floor covering (tiles/stone)
floor covering (wooden boards)
floor covering (wooden decking)
floor tiles/ floor coverings
floor tiles/floor coverings
fridge/ freezer/ bar fridge
front door lock/ door bell
front door/ screen door
garage door/ garage remote
garbage bins
gates/ fences
heater
heating/ exhaust fan/ vent
house keys
iron/ ironing board
kettle
key lock box
lamp
laundry sink/ taps
letter box/ street number
lights / light fittings
lights/ light fittings
mailbox keys
microwave
mirror/ cabinet/ vanity
mirror/ mirror unit 
modem/ wifi extender
mop / broom
outdoor chairs
outdoor table
outdoor umbrellas
oven
paper basket
pedestal fan
picture of entire area
potted plant
power points
railings 
rug
shelving (built-in)
shoe rack
shower curtain
shower screen
shower tiling/ surfaces
single bed base
single bed mattress
single mattress fitted sheet
single mattress protector
sinks/ taps
skirting boards
smoke alarm
sofa
sofa 
stairs (carpet)
stairs (other)
stairs (wooden)
storage box (Cocoon)/ 2x bedding, cushions
storage unit (built-in)
storage unit (freestanding)
storage unit or other furniture item
storage unit/ bookshelf
storage unit/ cupboards (built in) 
stove top/ hot plates
toaster
toilet roll holder
toilet/ cistern/ seat
TV unit/table
TV/ TV remote
vacuum bags
vacuum cleaner
wall clock/ batteries
walls
walls/ ceiling
walls/ tiles
walls/ tiles/ ceiling
wardrobe (built-in)
wardrobe (cube)
wardrobe (poles to roof)
wardrobe (rack, screwed to wall)
wash basin/ taps
washing machine
windows / fly screens
windows/ fly screens
